English word,French word,Frequency
asleep,endormi,60

sense,sens,187

dolabella,Dolabella,39

sound,du son,333

tonight,ce soir,49

twice,deux fois,72

finger,doigt,114

grace,la grâce,719

leisure,loisir,68

entertainment,divertissement,38

horse,cheval,335

particular,particulier,72

hands,mains,342

peace,paix,556

alive,vivant,93

suffolk,suffolk,259

raise,élever,298

willing,prêt,94

fierce,féroce,44

dramatis,dramatis,36

freely,librement,55

image,image,74

glass,verre,83

marry,marier,377

afterwards,ensuite,38

picture,image,52

fortune,fortune,485

stain,tache,116

drums,tambours,42

machine,machine,224

times,fois,302

least,moins,101

vantage,avantage,133

padua,Padoue,41

suspect,suspect,53

capitol,Capitole,43

sleep,sommeil,438

change,changement,246

wrong,faux,379

tread,bande de roulement,57

elder,aîné,50

could,pourrait,654

about,sur,415

sickness,maladie,54

college,Université,227

catch,capture,93

knight,Chevalier,189

breast,Sein,117

guess,devine,55

leontes,leontes,150

paris,Paris,171

third,troisième,247

train,train,203

opinion,opinion,97

battle,bataille,146

reputation,réputation,47

complexion,complexion,47

means,veux dire,264

readable,lisible,224

banish,bannir,205

gates,portes,105

chamber,chambre,220

indeed,En effet,438

season,saison,69

bears,ours,110

fatal,fatal,45

shake,secouer,395

unless,sauf si,155

water,eau,207

wrought,forgé,43

ariel,Ariel,93

purpose,objectif,261

denied,refusé,55

fashion,mode,125

commercial,commercial,442

daughter,fille,494

window,la fenêtre,69

grieve,pleurer,71

brother,frère,734

cunning,ruse,81

deserve,mériter,135

bitter,amer,96

authority,autorité,55

mischief,sottises,50

leave,laisser,748

venice,venise,86

proof,preuve,118

throat,gorge,78

appear,apparaître,231

maintain,maintenir,58

wrath,colère,73

trick,tour,94

still,encore,588

cheer,acclamation,131

seeing,voyant,56

realm,domaine,60

garden,jardin,62

render,rendre,57

mirth,gaieté,53

whose,dont,618

world,monde,925

awake,éveillé,87

attended,assisté,46

blame,faire des reproches,94

money,argent,194

night,nuit,1216

plead,plaider,63

holds,tient,93

shall,doit,3865

steel,acier,78

tempest,tempête,52

dearest,très cher,56

patience,la patience,208

throne,trône,75

gallant,galant,72

exeunt,sortir,1035

those,ceux,547

yours,le tiens,609

herself,se,98

equal,égal,69

chain,chaîne,81

chide,gronder,59

instant,instant,85

common,commun,247

flourish,fleurir,146

ransom,une rançon,66

degree,diplôme,65

sharp,tranchant,90

swift,rapide,100

believe,croyez,253

companion,un compagnon,55

dying,en train de mourir,54

copyright,droits d'auteur,228

wherein,où,133

commission,commission,52

guard,garde,202

pleasure,plaisir,258

silver,argent,72

earth,Terre,380

ambition,ambition,49

happy,heureux,243

action,action,234

saying,en disant,63

cloten,cailloter,111

coming,venir,172

parted,séparé,56

plague,peste,110

sirrah,sirrah,148

private,privé,74

revenge,vengeance,189

cominius,cominius,104

thank,remercier,517

sorry,Pardon,92

darkness,obscurité,39

commend,saluer,155

longer,plus long,112

lordship,seigneurie,128

young,Jeune,528

although,bien que,79

constant,constant,72

general,général,236

widow,veuve,142

duncan,Duncan,40

black,noir,197

emilia,Émilie,153

colour,Couleur,168

cardinal,cardinal,172

gower,gower,53

talbot,talbot,175

elbow,coude,62

salerio,salerio,48

mouth,bouche,200

thief,voleur,68

demand,demande,89

husband,mari,373

fancy,fantaisie,68

natural,Naturel,105

kings,rois,150

shadow,ombre,115

senator,sénateur,150

knowledge,connaissance,99

clear,clair,86

count,compter,878

fellow,compagnon,445

forbear,ancêtre,65

heels,talons,83

painted,peint,53

ulysses,Ulysse,114

scene,scène,807

point,point,256

spare,de rechange,68

deliver,livrer,200

taught,enseigné,55

encounter,rencontre,61

understand,comprendre,123

cousin,cousin,287

suffer,souffrir,162

golden,d'or,92

bassianus,bassianus,45

attend,assister,416

endure,supporter,81

naked,nu,56

thomas,Thomas,75

whence,d'où,76

account,Compte,57

wounded,blessés,42

counsel,Conseil,176

passion,la passion,147

surrey,Surrey,51

afraid,peur,41

strength,force,143

viola,alto,158

sought,recherché,40

estate,biens,58

practice,entraine toi,56

secret,secret,114

straight,tout droit,161

substance,substance,43

marriage,mariage,122

sister,sœur,238

waste,déchets,75

winter,hiver,84

strange,étrange,365

knees,les genoux,51

offend,offenser,149

sweat,transpiration,53

wonder,merveille,165

after,après,543

service,un service,485

promise,promettre,160

constable,gendarme,90

intent,intention,74

except,sauf,60

passage,passage,44

quarrel,querelle,129

knock,frappe,143

despair,désespoir,62

coward,lâche,150

living,vivant,123

rather,plutôt,323

skill,compétence,62

jealous,jaloux,96

bastard,Connard,234

lovely,charmant,53

oaths,serments,87

liberty,liberté,73

learned,appris,56

innocent,innocent,56

worse,pire,178

disposition,disposition,51

jewel,bijou,99

supper,souper,64

triumph,triomphe,79

victory,la victoire,47

other,autre,2845

custom,Douane,72

kneel,s'agenouiller,116

bought,acheté,51

possible,possible,98

slander,calomnie,92

fought,combattu,68

thing,chose,1713

store,boutique,72

enobarbus,énobarbus,154

whole,entier,161

brain,cerveau,154

drawn,tiré,92

flatter,flatter,137

further,plus loin,194

keeps,garde,76

flower,fleur,103

together,ensemble,281

glory,gloire,89

laugh,rire,243

steward,intendant,50

borne,supporté,96

blush,rougir,89

affairs,affaires,68

begin,commencer,188

assure,assurer,71

present,présent,443

quiet,silencieux,110

claim,prétendre,187

spite,dépit,132

lucentio,Lucentio,131

brains,cerveaux,49

fourth,Quatrième,51

crave,demander,73

brave,courageux,223

health,santé,120

trumpet,trompette,212

flowers,fleurs,47

mistress,maîtresse,461

father,père,1157

alone,seul,237

betray,trahir,68

shore,rive,85

warlike,guerrier,58

forth,en avant,441

syracuse,Syracuse,238

wench,jeune fille,85

brows,sourcils,49

spirit,esprit,407

dreams,rêves,46

written,écrit,35

master,Maître,991

prepare,préparer,82

liege,Liege,145

dishonour,déshonorer,70

messenger,Messager,334

satisfied,satisfait,54

entertain,divertir,98

devise,concevoir,57

better,mieux,612

birth,naissance,101

pedro,pedro,155

worth,vaut,594

wolsey,Wolsey,101

prince,prince,1126

repair,réparation,52

contrary,contraire,47

desperate,désespéré,54

smile,sourire,125

doing,Faire,86

lords,seigneurs,594

emperor,empereur,112

great,génial,1147

faces,visages,53

heads,têtes,131

loose,ample,60

embrace,embrasse,84

besides,outre,109

motion,mouvement,113

pandarus,Pandarus,188

stars,étoiles,71

tarry,goudronneux,50

withal,avec,153

fiend,démon,82

therein,la bride,56

armour,armure,57

discourse,discours,67

between,entre,241

deeds,actes,119

hours,heures,141

wisdom,sagesse,105

queen,reine,989

truly,vraiment,172

stone,calcul,235

thought,pensée,682

blind,aveugle,105

delight,délice,86

yonder,là-bas,74

learn,apprendre,225

depart,partir,98

tower,la tour,88

belike,être comme,42

piece,pièce,143

civil,civil,68

remain,rester,127

march,Mars,169

slender,mince,113

beyond,au-delà,60

cares,se soucie,36

pretty,jolie,117

countess,comtesse,123

small,petit,123

forbid,interdire,86

knife,couteau,56

charity,charité,55

glorious,glorieux,43

minister,ministre,62

search,chercher,61

speech,discours,163

didst,didst,183

story,récit,93

study,étude,68

command,commander,291

heavy,lourd,169

danger,danger,224

witch,sorcière,139

suddenly,tout à coup,50

myself,moi même,567

captain,capitaine,206

effect,effet,116

forsooth,en vérité,48

every,chaque,558

philip,Philippe,90

comfort,confort,254

wound,blessure,211

another,un autre,455

durst,durst,51

chief,chef,223

modest,modeste,100

profit,profit,65

uncle,oncle,256

quoth,quoth,66

contempt,mépris,55

green,vert,122

enjoy,prendre plaisir,71

lives,vies,213

abroad,à l'étranger,64

claud,claud,307

flood,inonder,59

court,tribunal,474

might,pourrait,679

reignier,règne,49

consider,considérer,89

meant,signifiait,83

fruit,fruit,70

royal,Royal,255

prologue,prologue,43

angel,ange,345

cross,traverser,126

fight,bats toi,322

hateful,odieux,39

pompey,pompey,211

others,autres,520

truth,vérité,349

farther,plus loin,43

happiness,bonheur,59

place,endroit,525

argument,argument,78

noise,bruit,117

occasion,occasion,91

blood,du sang,947

priest,prêtre,92

remedy,remède,59

blessing,bénédiction,67

breed,race,110

brook,ruisseau,93

clarence,clarté,211

goodness,la bonté,56

unworthy,indigne,36

knowing,connaissance,53

surely,sûrement,42

close,proche,168

conduct,conduite,53

request,demande,85

shame,la honte,366

scorn,mépris,146

rotten,pourri,40

manner,manière,175

looks,regards,216

native,originaire de,45

strong,fort,279

because,car,187

porter,porter,52

kingdom,Royaume,127

certain,certain,236

letter,lettre,384

judge,juge,121

senate,sénat,42

doors,des portes,62

farewell,adieu,355

sometime,parfois,138

sovereign,souverain,182

quick,rapide,328

dreadful,horrible,61

perceive,apercevoir,103

second,seconde,585

makes,fait du,360

labour,la main d'oeuvre,129

while,tandis que,437

teeth,les dents,56

mercy,pitié,187

spoke,parlait,219

blest,heureux,84

turns,se tourne,73

person,la personne,453

flight,vol,56

number,nombre,103

solemn,solennel,69

fearful,craintif,99

forward,vers l'avant,103

pardon,pardon,327

bishop,évêque,134

partly,partiellement,35

folly,folie,80

please,S'il vous plaît,449

figure,figure,66

there,Là,3094

seven,Sept,94

misery,misère,39

think,pense,1368

devil,diable,293

gaunt,décharné,78

soldier,soldat,491

summer,été,100

themselves,se,159

condition,état,89

somerset,somerset,147

saint,Saint,149

subject,matière,172

heard,entendu,364

safety,sécurité,74

should,devrait,1716

weapons,armes,42

country,pays,243

proud,fier,249

falls,des chutes,82

gross,brut,96

stood,se tenait,107

peril,péril,65

henceforth,désormais,41

unknown,inconnue,44

hangs,bloque,37

within,dans,494

enemy,ennemi,167

table,table,292

clothes,vêtements,41

strike,la grève,205

become,devenir,210

courage,courage,89

cupid,Cupidon,60

already,déjà,148

known,connu,233

teach,enseigner,137

weary,se lasser,87

trial,procès,65

poins,poins,103

clown,pitre,355

spend,dépenser,80

often,souvent,140

claudio,Claudio,180

neither,ni,186

swore,juré,60

obedience,obéissance,60

divine,Divin,59

villain,scélérat,362

special,spécial,64

margaret,margaret,210

blows,coups,73

match,rencontre,119

fiery,ardent,49

mother,mère,479

virtue,vertu,244

perfect,parfait,114

device,dispositif,49

hubert,Hubert,96

ladyship,Madame,45

haste,hâte,219

matter,matière,385

murther,aller plus loin,122

company,entreprise,215

monster,monstre,96

personal,personnel,237

ready,prêt,294

below,au dessous de,54

since,depuis,462

version,version,230

success,Succès,88

yield,rendement,202

plain,plaine,242

dream,rêver,211

dread,crainte,121

habit,habitude,86

prize,prix,56

ferdinand,Ferdinand,53

chaste,chaste,46

slain,tué,127

tailor,tailleur,58

whither,où,89

their,leur,2108

ladies,Dames,148

outward,vers l'extérieur,57

field,champ,242

eternal,éternel,40

knows,sait,213

includes,comprend,223

people,gens,232

dinner,dîner,98

sword,épée,427

lovers,les amoureux,61

vengeance,vengeance,53

wives,épouses,65

flesh,la chair,142

terms,termes,75

confess,avouer,185

humour,humour,124

welcome,Bienvenue,380

mortal,mortel,147

return,revenir,281

lawful,légitime,77

prohibited,interdit,221

exeter,Exeter,98

disgrace,disgrâce,58

simple,Facile,129

walls,des murs,85

apparel,vêtements,48

along,le long de,112

challenge,défi,57

fairy,Fée,58

lorenzo,Lorenzo,81

steal,voler,130

prove,prouver,371

approach,approche,103

faith,Foi,464

prison,prison,260

offer,offre,178

hazard,danger,47

cromwell,Cromwell,44

needs,Besoins,147

something,quelque chose,183

brought,apporté,196

acquainted,connaissance,43

grown,grandi,68

kindness,la gentillesse,79

shine,éclat,109

speaks,parle,129

guilty,coupable,71

follow,suivre,562

milan,Milan,41

weight,poids,63

anger,colère,365

merit,mérite,79

before,avant,840

remember,rappelles toi,200

answer,répondre,480

ignorant,ignorant,48

majesty,majesté,270

clouds,des nuages,59

damned,damné,45

these,celles-ci,1394

athens,Athènes,72

beard,barbe,124

revolt,révolte,64

taste,goût,98

mariana,Mariana,48

ourselves,nous-mêmes,188

undertake,entreprendre,51

going,Aller,111

excuse,excuse,86

mistake,erreur,53

pride,fierté,112

speed,la vitesse,287

weeds,mauvaises herbes,44

little,peu,484

permission,autorisation,225

weeping,larmes,62

accuse,accuser,53

chair,chaise,46

drown,noyer,110

purse,bourse,107

percy,Percy,87

tyrant,tyran,70

precious,précieux,79

empty,vide,54

france,France,529

creature,créature,110

highness,altesse,189

nurse,infirmière,218

hector,Hector,224

trouble,difficulté,133

making,fabrication,85

enough,assez,313

malice,malice,72

beauty,beauté,233

paulina,paulina,86

palace,palais,167

grant,subvention,152

tells,raconte,45

chance,chance,211

tender,soumissionner,176

worship,culte,133

violent,violent,49

perhaps,peut-être,45

office,Bureau,351

tedious,fastidieux,51

loves,aime,225

cheek,joue,243

spring,printemps,91

cruel,cruel,100

presence,présence,107

sweet,sucré,925

behind,derrière,120

tears,larmes,294

order,ordre,145

praise,louange,239

valour,valeur,101

execution,exécution,69

excellent,excellent,125

edmund,Edmund,77

reason,raison,498

thrive,prospérer,62

deadly,mortel,51

bedford,Bedford,49

aside,de côté,468

favour,favoriser,203

infinite,infini,43

pound,livre,112

gentle,doux,1237

heart,cœur,1350

painter,peintre,45

shape,forme,132

ghost,fantôme,112

valentine,Valentin,233

abuse,abuser de,76

being,étant,664

course,cours,253

dispatch,envoi,92

house,maison,662

feast,le banquet,132

short,court,172

souls,âmes,114

sacred,sacré,47

breath,souffle,360

absence,absence,55

express,Express,70

power,Puissance,382

counterfeit,contrefaire,69

drunk,ivre,114

egypt,Egypte,66

dagger,dague,57

morning,Matin,134

early,de bonne heure,109

noble,noble,754

rivers,rivières,59

everything,tout,42

feeble,faible,43

touch,toucher,315

heaven,paradis,853

bottom,bas,110

midnight,minuit,43

flies,mouches,62

paper,papier,122

proclaim,proclamer,80

where,où,1873

comes,vient,701

title,Titre,121

trust,confiance,244

sight,vue,239

either,Soit,358

lieutenant,lieutenant,81

issue,problème,129

crown,couronne,395

staff,Personnel,532

toward,vers,177

yourself,toi même,280

force,Obliger,276

burning,brûlant,52

castle,Château,116

merry,joyeux,170

sorrow,chagrin,244

tongue,langue,503

witness,témoin,142

orlando,orlando,164

awhile,quelque temps,102

maids,servantes,48

party,fête,51

object,objet,54

limbs,membres,49

round,rond,282

whether,qu'il s'agisse,97

light,lumière,611

proper,correct,100

policy,politique,45

ancient,ancien,82

wealth,richesse,113

buried,enterré,59

fault,faute,280

mowbray,mowbray,66

sworn,juré,197

memory,Mémoire,58

again,encore,1364

traitor,traitre,205

pistol,pistolet,188

morrow,demain,353

ground,sol,182

silence,silence,114

stand,supporter,944

throw,jeter,213

grief,douleur,274

above,au dessus,147

therefore,par conséquent,627

humble,humble,94

stroke,accident vasculaire cérébral,64

names,des noms,50

valiant,vaillant,162

business,Entreprise,236

project,projet,254

patient,patient,130

rogue,coquin,108

bones,des os,76

download,Télécharger,221

thrust,poussée,66

hostess,hôtesse,112

treasure,Trésor,58

unhappy,malheureux,39

cinna,cinna,40

courtesy,courtoisie,66

membership,adhésion,221

poison,poison,128

whore,putain,104

bearing,palier,76

parolles,parolles,175

fenton,Fenton,46

meeting,réunion,56

clifford,Clifford,140

swear,jurer,356

wretch,misérable,153

julia,Julia,154

quality,qualité,58

charge,charge,493

given,donné,205

giving,donnant,65

greet,saluer,93

music,la musique,261

frown,froncer les sourcils,88

bounty,prime,42

loving,aimant,122

through,par,284

forest,forêt,98

cause,cause,549

commit,commettre,86

commanded,commandé,40

false,faux,355

offence,infraction,121

drink,boisson,218

beast,la bête,130

bound,lié,229

reign,règne,328

scarce,rare,90

found,a trouvé,320

credit,crédit,73

hence,Par conséquent,583

month,mois,97

single,Célibataire,64

tribunes,tribunes,67

stuff,des trucs,70

almost,presque,161

always,toujours,63

phebe,phebe,48

sooner,plus tôt,62

murder,meurtre,215

minds,esprits,56

until,jusqu'à,78

slave,esclave,176

would,aurait,2456

smell,odeur,69

quite,assez,117

behalf,nom,46

former,ancien,74

reverence,révérence,44

benefit,avantage,47

merchant,marchande,78

cannot,ne peux pas,762

justice,Justice,265

anything,n'importe quoi,105

dwell,habiter,73

finds,trouve,42

advantage,avantage,88

appears,apparaît,50

first,première,1175

soothsayer,devin,43

advice,Conseil,43

honest,honnête,406

proceed,procéder,134

miranda,Miranda,65

council,conseil,58

protector,protecteur,61

oxford,Oxford,57

taken,pris,104

displeasure,mécontentement,43

broke,cassé,383

friend,ami,1017

struck,frappé,84

respect,le respect,144

nought,néant,58

rough,rugueux,634

protest,manifestation,67

woman,femme,512

hanging,pendaison,63

dearly,chèrement,42

doctor,docteur,120

though,bien que,1395

entreat,supplier,159

provided,à condition de,259

avoid,éviter,52

foolish,insensé,103

carry,porter,113

never,jamais,1023

choice,choix,72

grave,la tombe,244

abide,respecter,45

citizen,citoyenne,268

having,ayant,158

watch,regarder,266

large,grand,104

measure,mesure,110

several,nombreuses,106

behold,voir,199

drops,gouttes,58

maiden,jeune fille,78

sudden,soudain,129

oberon,Oberon,45

without,sans pour autant,368

state,Etat,405

fools,imbéciles,104

shepherd,berger,145

frame,Cadre,55

maria,maria,169

parts,les pièces,112

double,double,130

familiar,familier,47

nature,la nature,412

forces,les forces,47

french,français,267

content,contenu,270

library,bibliothèque,232

neighbour,voisine,94

death,décès,931

according,selon,55

hundred,cent,120

storm,orage,81

beggar,mendiant,125

servant,serviteur,543

launce,lancer,165

shortly,prochainement,46

curse,malédiction,182

meaning,sens,64

distributed,distribué,443

rascal,coquin,90

serve,servir,463

pains,des douleurs,92

warrant,mandat,195

works,travaux,250

judgment,jugement,117

despite,malgré,59

speak,parler,1413

conscience,conscience,127

utter,prononcer,121

write,écrire,162

knave,fripon,239

voice,voix,213

affection,affection,118

mighty,puissant,117

fetch,chercher,129

bright,brillant,82

brief,bref,114

bless,bénir,277

right,droite,878

enemies,ennemis,111

beaten,battu,50

desire,le désir,310

forget,oublier,115

posthumus,posthume,129

repent,se repentir,77

madness,la démence,68

marcus,Marcus,138

hollow,creux,54

doubt,doute,255

oliver,oliver,58

question,question,177

treason,trahison,116

affections,affections,40

copies,copies,446

thunder,tonnerre,90

hereafter,ci-après, par la suite,49

stomach,estomac,62

bring,apporter,526

consent,consentement,112

fresh,Frais,124

marcius,Marcius,143

regard,qui concerne,62

fears,peurs,77

visit,visite,97

youth,jeunesse,318

which,lequel,2322

defend,défendre,85

dance,Danse,113

shows,montre,103

child,enfant,392

niece,nièce,65

intend,avoir l'intention,97

cease,cesser,68

lands,terres,68

prayers,prières,85

polixenes,polixènes,84

blunt,cru,80

discover,découvrir,78

enter,entrer,2519

complete,Achevée,247

public,Publique,71

church,église,100

desert,désert,65

undone,défait,55

bodies,corps,44

burden,fardeau,62

wings,ailes,57

street,rue,133

pluck,cueillir,163

itself,lui-même,240

receive,recevoir,144

nothing,rien,640

report,rapport,186

sentence,phrase,45

sport,sport,168

under,sous,678

barren,Dénudé,43

faint,perdre connaissance,76

